Date          SIF760
(mm/dd/yyyy)  ()
    08/11/2016 2.78049
    08/12/2016 1.36585
    08/16/2016 1.37805
    08/17/2016 1.95122
    08/18/2016 2.40244
    08/19/2016 1.70732
    08/21/2016 2.60976
    08/22/2016 2.43902
    08/23/2016 2.26829
    08/25/2016 1.97561
    08/27/2016 1.92683
    08/28/2016 1.35366
    08/29/2016 2.35366
    08/30/2016 1.06098
    08/31/2016 0.914634
    09/01/2016 2.15854
    09/04/2016 1.36585
    09/05/2016 1.64634
    09/06/2016       2
    09/07/2016  1.7439
    09/10/2016 1.39024
    09/11/2016 1.82927
    09/12/2016 1.89024
    09/13/2016 1.20732
    09/14/2016 0.987805
    09/15/2016 1.28049
    09/20/2016 0.707317
