ApsimVersion = 7.8
Title = USsoybean
           Date          yield        SIF_sim
   (dd/mm/yyyy)        (kg/ha)             ()
     01/01/2016            0.0          0.000
     02/01/2016            0.0          0.000
     03/01/2016            0.0          0.000
     04/01/2016            0.0          0.000
     05/01/2016            0.0          0.000
     06/01/2016            0.0          0.000
     07/01/2016            0.0          0.000
     08/01/2016            0.0          0.000
     09/01/2016            0.0          0.000
     10/01/2016            0.0          0.000
     11/01/2016            0.0          0.000
     12/01/2016            0.0          0.000
     13/01/2016            0.0          0.000
     14/01/2016            0.0          0.000
     15/01/2016            0.0          0.000
     16/01/2016            0.0          0.000
     17/01/2016            0.0          0.000
     18/01/2016            0.0          0.000
     19/01/2016            0.0          0.000
     20/01/2016            0.0          0.000
     21/01/2016            0.0          0.000
     22/01/2016            0.0          0.000
     23/01/2016            0.0          0.000
     24/01/2016            0.0          0.000
     25/01/2016            0.0          0.000
     26/01/2016            0.0          0.000
     27/01/2016            0.0          0.000
     28/01/2016            0.0          0.000
     29/01/2016            0.0          0.000
     30/01/2016            0.0          0.000
     31/01/2016            0.0          0.000
     01/02/2016            0.0          0.000
     02/02/2016            0.0          0.000
     03/02/2016            0.0          0.000
     04/02/2016            0.0          0.000
     05/02/2016            0.0          0.000
     06/02/2016            0.0          0.000
     07/02/2016            0.0          0.000
     08/02/2016            0.0          0.000
     09/02/2016            0.0          0.000
     10/02/2016            0.0          0.000
     11/02/2016            0.0          0.000
     12/02/2016            0.0          0.000
     13/02/2016            0.0          0.000
     14/02/2016            0.0          0.000
     15/02/2016            0.0          0.000
     16/02/2016            0.0          0.000
     17/02/2016            0.0          0.000
     18/02/2016            0.0          0.000
     19/02/2016            0.0          0.000
     20/02/2016            0.0          0.000
     21/02/2016            0.0          0.000
     22/02/2016            0.0          0.000
     23/02/2016            0.0          0.000
     24/02/2016            0.0          0.000
     25/02/2016            0.0          0.000
     26/02/2016            0.0          0.000
     27/02/2016            0.0          0.000
     28/02/2016            0.0          0.000
     29/02/2016            0.0          0.000
     01/03/2016            0.0          0.000
     02/03/2016            0.0          0.000
     03/03/2016            0.0          0.000
     04/03/2016            0.0          0.000
     05/03/2016            0.0          0.000
     06/03/2016            0.0          0.000
     07/03/2016            0.0          0.000
     08/03/2016            0.0          0.000
     09/03/2016            0.0          0.000
     10/03/2016            0.0          0.000
     11/03/2016            0.0          0.000
     12/03/2016            0.0          0.000
     13/03/2016            0.0          0.000
     14/03/2016            0.0          0.000
     15/03/2016            0.0          0.000
     16/03/2016            0.0          0.000
     17/03/2016            0.0          0.000
     18/03/2016            0.0          0.000
     19/03/2016            0.0          0.000
     20/03/2016            0.0          0.000
     21/03/2016            0.0          0.000
     22/03/2016            0.0          0.000
     23/03/2016            0.0          0.000
     24/03/2016            0.0          0.000
     25/03/2016            0.0          0.000
     26/03/2016            0.0          0.000
     27/03/2016            0.0          0.000
     28/03/2016            0.0          0.000
     29/03/2016            0.0          0.000
     30/03/2016            0.0          0.000
     31/03/2016            0.0          0.000
     01/04/2016            0.0          0.000
     02/04/2016            0.0          0.000
     03/04/2016            0.0          0.000
     04/04/2016            0.0          0.000
     05/04/2016            0.0          0.000
     06/04/2016            0.0          0.000
     07/04/2016            0.0          0.000
     08/04/2016            0.0          0.000
     09/04/2016            0.0          0.000
     10/04/2016            0.0          0.000
     11/04/2016            0.0          0.000
     12/04/2016            0.0          0.000
     13/04/2016            0.0          0.000
     14/04/2016            0.0          0.000
     15/04/2016            0.0          0.000
     16/04/2016            0.0          0.000
     17/04/2016            0.0          0.000
     18/04/2016            0.0          0.000
     19/04/2016            0.0          0.000
     20/04/2016            0.0          0.000
     21/04/2016            0.0          0.000
     22/04/2016            0.0          0.000
     23/04/2016            0.0          0.000
     24/04/2016            0.0          0.000
     25/04/2016            0.0          0.000
     26/04/2016            0.0          0.000
     27/04/2016            0.0          0.000
     28/04/2016            0.0          0.000
     29/04/2016            0.0          0.000
     30/04/2016            0.0          0.000
     01/05/2016            0.0          0.000
     02/05/2016            0.0          0.000
     03/05/2016            0.0          0.000
     04/05/2016            0.0          0.000
     05/05/2016            0.0          0.000
     06/05/2016            0.0          0.000
     07/05/2016            0.0          0.000
     08/05/2016            0.0          0.000
     09/05/2016            0.0          0.000
     10/05/2016            0.0          0.000
     11/05/2016            0.0          0.000
     12/05/2016            0.0          0.000
     13/05/2016            0.0          0.000
     14/05/2016            0.0          0.000
     15/05/2016            0.0          0.000
     16/05/2016            0.0          0.000
     17/05/2016            0.0          0.000
     18/05/2016            0.0          0.000
     19/05/2016            0.0          0.000
     20/05/2016            0.0          0.000
     21/05/2016            0.0          0.000
     22/05/2016            0.0          0.000
     23/05/2016            0.0          0.000
     24/05/2016            0.0          0.000
     25/05/2016            0.0          0.000
     26/05/2016            0.0          0.000
     27/05/2016            0.0          0.000
     28/05/2016            0.0          0.000
     29/05/2016            0.0          0.000
     30/05/2016            0.0          0.000
     31/05/2016            0.0          0.000
     01/06/2016            0.0          0.000
     02/06/2016            0.0          0.000
     03/06/2016            0.0          0.000
     04/06/2016            0.0          0.000
     05/06/2016            0.0          0.000
     06/06/2016            0.0          0.000
     07/06/2016            0.0          0.000
     08/06/2016            0.0          0.000
     09/06/2016            0.0          0.000
     10/06/2016            0.0          0.000
     11/06/2016            0.0          0.000
     12/06/2016            0.0          0.000
     13/06/2016            0.0          0.000
     14/06/2016            0.0          0.000
     15/06/2016            0.0          0.000
     16/06/2016            0.0          0.000
     17/06/2016            0.0          0.000
     18/06/2016            0.0          0.000
     19/06/2016            0.0          0.000
     20/06/2016            0.0          0.000
     21/06/2016            0.0          1.554
     22/06/2016            0.0          0.850
     23/06/2016            0.0          1.545
     24/06/2016            0.0          1.631
     25/06/2016            0.0          1.911
     26/06/2016            0.0          1.593
     27/06/2016            0.0          2.153
     28/06/2016            0.0          1.657
     29/06/2016            0.0          2.361
     30/06/2016            0.0          1.130
     01/07/2016            0.0          2.414
     02/07/2016            0.0          0.569
     03/07/2016            0.0          0.574
     04/07/2016            0.0          1.047
     05/07/2016            0.0          2.534
     06/07/2016            0.0          1.962
     07/07/2016            0.0          1.230
     08/07/2016            0.0          3.094
     09/07/2016            0.0          3.087
     10/07/2016            0.0          3.163
     11/07/2016            0.0          3.292
     12/07/2016            0.0          2.441
     13/07/2016            0.0          2.865
     14/07/2016            0.0          3.418
     15/07/2016            0.0          3.516
     16/07/2016            0.0          3.513
     17/07/2016            0.0          1.617
     18/07/2016            0.0          2.106
     19/07/2016            0.0          2.563
     20/07/2016            0.0          2.914
     21/07/2016            0.0          3.061
     22/07/2016            0.0          3.059
     23/07/2016            0.0          3.019
     24/07/2016            0.0          2.740
     25/07/2016            0.0          1.902
     26/07/2016            0.0          3.155
     27/07/2016            0.0          3.388
     28/07/2016            0.0          3.116
     29/07/2016            0.0          2.646
     30/07/2016            0.0          2.615
     31/07/2016            0.0          2.751
     01/08/2016            0.0          2.452
     02/08/2016            0.0          2.141
     03/08/2016            0.0          2.710
     04/08/2016            0.0          3.286
     05/08/2016            0.0          1.368
     06/08/2016            0.0          3.050
     07/08/2016            0.0          2.928
     08/08/2016            0.0          2.779
     09/08/2016            0.0          2.721
     10/08/2016            0.0          3.029
     11/08/2016            0.0          2.733
     12/08/2016            0.0          1.138
     13/08/2016            0.0          1.208
     14/08/2016            0.0          1.303
     15/08/2016          122.9          0.612
     16/08/2016          251.0          2.144
     17/08/2016          384.5          2.460
     18/08/2016          522.9          2.413
     19/08/2016          665.2          1.972
     20/08/2016          811.1          1.687
     21/08/2016          963.8          2.619
     22/08/2016         1121.7          2.806
     23/08/2016         1282.8          2.340
     24/08/2016         1446.1          1.868
     25/08/2016         1612.9          1.843
     26/08/2016         1779.8          1.359
     27/08/2016         1956.0          2.265
     28/08/2016         2132.8          1.799
     29/08/2016         2315.5          2.214
     30/08/2016         2491.2          1.133
     31/08/2016         2676.9          1.742
     01/09/2016         2864.7          1.717
     02/09/2016         3058.3          2.292
     03/09/2016         3253.8          2.171
     04/09/2016         3448.1          1.665
     05/09/2016         3646.5          1.964
     06/09/2016         3845.0          1.926
     07/09/2016         4042.0          1.737
     08/09/2016         4227.5          0.855
     09/09/2016         4399.3          0.456
     10/09/2016         4588.2          1.532
     11/09/2016         4772.6          1.789
     12/09/2016         4954.2          1.744
     13/09/2016         5133.7          1.256
     14/09/2016         5308.6          0.880
     15/09/2016         5377.0          0.880
     16/09/2016         5402.4          0.880
     17/09/2016         5425.8          0.880
     18/09/2016         5437.4          0.880
     19/09/2016         5438.3          0.880
     20/09/2016            0.0          0.880
     21/09/2016            0.0          0.880
     22/09/2016            0.0          0.880
     23/09/2016            0.0          0.880
     24/09/2016            0.0          0.880
     25/09/2016            0.0          0.880
     26/09/2016            0.0          0.880
     27/09/2016            0.0          0.880
     28/09/2016            0.0          0.880
     29/09/2016            0.0          0.880
     30/09/2016            0.0          0.880
     01/10/2016            0.0          0.880
     02/10/2016            0.0          0.880
     03/10/2016            0.0          0.880
     04/10/2016            0.0          0.880
     05/10/2016            0.0          0.880
     06/10/2016            0.0          0.880
     07/10/2016            0.0          0.880
     08/10/2016            0.0          0.880
     09/10/2016            0.0          0.880
     10/10/2016            0.0          0.880
     11/10/2016            0.0          0.880
     12/10/2016            0.0          0.880
     13/10/2016            0.0          0.880
     14/10/2016            0.0          0.880
     15/10/2016            0.0          0.880
     16/10/2016            0.0          0.880
     17/10/2016            0.0          0.880
     18/10/2016            0.0          0.880
     19/10/2016            0.0          0.880
     20/10/2016            0.0          0.880
     21/10/2016            0.0          0.880
     22/10/2016            0.0          0.880
     23/10/2016            0.0          0.880
