Date           TROPOMISIF
(mm/dd/yyyy)   ()
03/09/2018      -0.0718
03/10/2018      -0.0631
03/15/2018        -0.05
03/16/2018       0.0323
03/18/2018       -0.092
03/21/2018      -0.3175
03/22/2018      -0.0286
03/25/2018       0.4021
04/02/2018      -0.1881
04/05/2018       -0.096
04/07/2018       0.0177
04/11/2018       0.1667
04/12/2018      -0.0058
04/17/2018      -0.2751
04/19/2018         0.34
04/20/2018       0.3395
04/26/2018       0.4221
04/27/2018        0.284
04/28/2018       0.0243
04/29/2018       0.3714
04/30/2018       0.4782
05/02/2018      -0.1134
05/07/2018       0.1597
05/08/2018        0.329
05/10/2018       0.2214
05/13/2018      -0.1928
05/16/2018       0.6446
05/17/2018       0.8555
05/19/2018       0.8486
05/22/2018       0.5004
05/25/2018       0.7029
05/26/2018       0.5129
05/27/2018       0.9671
05/28/2018       0.9557
05/31/2018       0.6461
06/01/2018       0.8515
06/03/2018       1.4646
06/04/2018       1.4489
06/05/2018       1.1998
06/07/2018       1.4406
06/12/2018       1.4091
06/15/2018       2.0104
06/16/2018       2.3142
06/17/2018       2.6542
06/19/2018       2.6872
06/20/2018       2.4364
06/21/2018       1.5702
06/25/2018       3.3398
06/26/2018       2.3661
06/27/2018       2.4485
06/28/2018       3.3097
06/29/2018       3.3084
06/30/2018       3.2404
07/01/2018       3.4524
07/02/2018       2.6679
07/03/2018       2.0649
07/04/2018       2.9782
07/06/2018       2.9044
07/07/2018        3.372
07/08/2018       3.4784
07/09/2018       3.5064
07/10/2018       3.2701
07/12/2018       2.2275
07/13/2018       2.8381
07/14/2018       3.2917
07/16/2018       3.2526
07/17/2018       3.3045
07/18/2018       3.0155
07/19/2018       3.5388
07/20/2018       4.0794
07/22/2018       2.7892
07/23/2018       2.6736
07/24/2018       2.3482
07/25/2018       2.6649
07/26/2018       2.9244
07/27/2018       2.9038
07/28/2018       4.7904
08/01/2018       2.8479
08/02/2018        2.921
08/03/2018       2.9072
08/06/2018       3.1444
08/08/2018        2.292
08/10/2018          2.7
08/12/2018       2.1245
08/13/2018       1.8408
08/14/2018         1.78
08/16/2018       2.5365
08/17/2018       2.4829
08/18/2018       1.7867
08/19/2018       1.6659
08/20/2018       2.0409
08/22/2018       1.8024
08/23/2018       1.8436
08/26/2018       2.1275
08/27/2018       2.1039
08/28/2018       1.8063
08/30/2018       1.6937
09/02/2018       1.4201
09/03/2018       1.0658
09/04/2018       0.8547
09/05/2018       0.9815
09/10/2018       0.5183
09/11/2018         0.87
09/12/2018       0.6708
09/13/2018       0.4965
09/14/2018       0.2655
09/15/2018       0.6014
09/16/2018       0.2836
09/17/2018        0.359
09/18/2018       0.2672
09/19/2018       0.0207
09/20/2018       0.3812
09/23/2018       0.2012
09/25/2018       0.0133
09/26/2018       0.2264
09/28/2018       0.3164
09/30/2018      -0.0004
10/01/2018        0.546
10/02/2018       0.3856
10/03/2018       0.4086
10/05/2018       0.4516
10/07/2018      -0.2219
10/08/2018       0.0696
10/09/2018       0.4096
10/11/2018       0.3865
10/16/2018       0.2995
10/17/2018       0.3203
10/18/2018       0.1343
10/20/2018       0.0925
10/21/2018      -0.0216
10/22/2018       0.4405
10/23/2018       0.0898
10/27/2018       0.0355
10/28/2018      -0.0434
10/29/2018       0.3816
10/31/2018      -0.1522
